,Left_ch,Right_ch,time
0,-2.38,75.11,1688625423.754
1,0.43,79.48,1688625423.755
2,2.6,75.19,1688625423.756
3,3.71,69.02,1688625423.764
4,1.19,67.14,1688625423.77
5,-0.58,67.4,1688625423.775
6,-2.74,69.45,1688625423.785
7,-4.47,72.34,1688625423.785
8,-4.94,70.24,1688625423.787
9,-3.79,67.36,1688625423.79
10,-3.5,65.63,1688625423.8
11,-3.21,66.35,1688625423.802
12,-1.44,70.61,1688625423.804
13,-1.73,74.18,1688625423.807
14,-1.98,75.11,1688625423.814
15,-3.61,73.63,1688625423.817
16,-5.3,66.35,1688625423.817
17,-7.28,59.68,1688625423.821
18,-7.18,58.6,1688625423.826
19,-4.8,64.66,1688625423.834
20,-0.94,75.08,1688625423.836
21,1.3,83.08,1688625423.842
22,2.6,86.98,1688625423.843
23,0.22,81.35,1688625423.851
24,-1.62,70.79,1688625423.852
25,-1.15,65.05,1688625423.853
26,3.79,68.08,1688625423.857
27,11.25,77.31,1688625423.858
28,14.93,85.1,1688625423.86
29,14.89,89.36,1688625423.868
30,8.51,83.33,1688625423.873
31,1.55,74.03,1688625423.877
32,-2.92,64.15,1688625423.906
33,-4.11,57.26,1688625423.908
34,-2.96,57.41,1688625423.932
35,-4.04,59.68,1688625423.956
36,-3.68,62.24,1688625423.956
37,-4.94,64.22,1688625423.957
38,-4.4,63.9,1688625423.957
39,-2.56,62.02,1688625423.957
40,-0.87,64.62,1688625423.957
41,-1.08,68.12,1688625423.957
42,-0.32,72.7,1688625423.957
43,3.57,79.87,1688625423.961
44,6.85,88.74,1688625423.961
45,10.13,95.56,1688625423.961
46,10.1,98.05,1688625423.961
47,6.85,88.82,1688625423.961
48,1.88,79.84,1688625423.961
49,-0.83,71.11,1688625423.961
50,-1.33,69.56,1688625423.963
51,-0.47,75.73,1688625423.963
52,1.8,82.43,1688625423.963
53,3.21,85.89,1688625423.963
54,1.73,81.82,1688625423.973
55,-2.06,74.0,1688625423.973
56,-5.91,67.61,1688625423.977
57,-7.39,66.46,1688625423.984
58,-3.93,69.92,1688625423.99
59,-0.94,69.38,1688625423.99
60,-2.09,58.6,1688625423.995
61,-6.78,39.41,1688625423.996
62,-13.92,24.2,1688625423.996
63,-18.82,22.36,1688625423.998
64,-13.09,40.06,1688625424.009
65,-5.88,63.5,1688625424.011
66,1.05,77.38,1688625424.016
67,1.3,74.07,1688625424.024
68,-3.28,59.82,1688625424.026
69,-8.51,47.45,1688625424.031
70,-8.65,44.79,1688625424.032
71,-4.26,52.61,1688625424.032
72,0.94,57.98,1688625424.033
73,0.18,60.51,1688625424.036
74,-1.33,57.52,1688625424.046
75,-5.95,55.71,1688625424.048
76,-6.06,57.88,1688625424.051
77,-5.77,56.11,1688625424.053
