,Left_ch,Right_ch,time
0,5.81,18.53,1688373165.518
1,9.23,22.43,1688373165.523
2,12.01,26.07,1688373165.525
3,11.36,25.64,1688373165.526
4,8.47,19.36,1688373165.533
5,4.87,15.65,1688373165.535
6,5.26,12.84,1688373165.537
7,9.16,13.31,1688373165.54
8,11.36,15.54,1688373165.541
9,11.79,11.47,1688373165.551
10,7.5,8.98,1688373165.554
11,4.22,5.73,1688373165.556
12,0.11,4.36,1688373165.558
13,-0.14,6.71,1688373165.566
14,-0.58,7.72,1688373165.572
15,-1.77,9.02,1688373165.577
16,-2.49,10.24,1688373165.578
17,-1.33,10.35,1688373165.586
18,0.58,11.47,1688373165.591
19,1.37,10.42,1688373165.592
20,-0.25,5.77,1688373165.602
21,-2.74,2.74,1688373165.602
22,-4.26,1.91,1688373165.606
23,-1.23,4.69,1688373165.61
24,2.27,6.2,1688373165.61
25,2.31,6.67,1688373165.613
26,-2.24,1.01,1688373165.62
27,-11.03,-3.46,1688373165.621
28,-15.9,-2.88,1688373165.624
29,-11.72,4.9,1688373165.628
30,-3.17,12.51,1688373165.636
31,5.88,17.16,1688373165.64
32,9.74,20.81,1688373165.64
33,8.94,22.25,1688373165.645
34,8.4,27.33,1688373165.653
35,12.08,32.31,1688373165.656
36,17.34,35.81,1688373165.662
37,17.6,34.44,1688373165.663
38,14.21,30.07,1688373165.692
39,6.67,25.1,1688373165.701
40,4.29,23.15,1688373165.703
41,6.35,23.51,1688373165.707
42,11.9,28.7,1688373165.707
43,17.56,34.33,1688373165.707
44,20.16,39.63,1688373165.707
45,20.59,43.63,1688373165.707
46,20.7,43.89,1688373165.707
47,21.35,43.09,1688373165.707
48,19.87,43.89,1688373165.708
49,18.5,46.23,1688373165.711
50,15.65,50.45,1688373165.714
51,14.06,50.92,1688373165.724
52,14.96,50.27,1688373165.726
53,17.45,46.05,1688373165.73
54,22.25,42.33,1688373165.732
55,25.46,40.21,1688373165.733
56,25.64,38.08,1688373165.733
57,23.04,31.95,1688373165.741
58,18.07,26.61,1688373165.744
59,12.48,23.76,1688373165.771
60,10.93,26.22,1688373165.807
61,11.25,34.0,1688373165.808
62,13.77,37.43,1688373165.811
63,16.12,37.18,1688373165.811
64,15.9,32.06,1688373165.811
65,12.87,28.09,1688373165.813
66,6.71,25.49,1688373165.813
67,1.98,28.2,1688373165.813
68,-1.69,28.23,1688373165.814
69,-3.46,27.48,1688373165.814
70,-3.79,25.49,1688373165.814
71,-8.22,21.96,1688373165.814
72,-18.07,16.55,1688373165.814
73,-32.96,3.68,1688373165.814
74,-47.2,-13.81,1688373165.817
75,-56.22,-27.51,1688373165.82
76,-56.9,-34.55,1688373165.82
77,-51.28,-29.35,1688373165.822
78,-44.28,-23.29,1688373165.83
79,-40.57,-18.57,1688373165.833
80,-39.95,-22.54,1688373165.835
81,-40.68,-27.95,1688373165.838
82,-39.81,-30.36,1688373165.84
83,-35.92,-31.62,1688373165.848
84,-30.65,-32.67,1688373165.851
85,-25.49,-33.57,1688373165.856
86,-20.34,-31.05,1688373165.864
87,-17.99,-24.95,1688373165.866
88,-16.15,-12.15,1688373165.872
89,-15.33,-4.36,1688373165.872
90,-14.71,-3.07,1688373165.882
91,-16.26,-8.26,1688373165.883
92,-19.47,-12.37,1688373165.885
93,-23.22,-14.06,1688373165.887
94,-23.11,-11.25,1688373165.89
95,-19.83,-5.91,1688373165.893
96,-12.62,-3.86,1688373165.901
97,-4.9,-3.71,1688373165.907
98,-1.44,-2.2,1688373165.908
99,-2.85,-1.33,1688373165.916
100,-7.14,0.5,1688373165.917
101,-12.51,1.88,1688373165.921
102,-16.48,2.6,1688373165.923
103,-14.42,2.67,1688373165.927
104,-7.93,2.13,1688373165.927
105,0.4,3.97,1688373165.935
106,7.36,7.18,1688373165.941
107,8.65,7.9,1688373165.943
108,6.35,5.88,1688373165.944
109,2.42,2.63,1688373165.954
110,0.47,-0.11,1688373165.956
111,2.13,-0.07,1688373165.959
112,3.93,4.72,1688373165.97
113,7.28,8.8,1688373165.972
114,6.6,11.43,1688373165.974
115,1.95,9.63,1688373165.985
116,-3.35,5.88,1688373165.985
117,-9.99,2.27,1688373165.987
118,-13.34,-0.14,1688373165.991
119,-10.82,1.19,1688373165.995
120,-2.74,5.77,1688373165.998
121,10.53,12.69,1688373165.998
122,23.98,18.39,1688373166.006
123,32.63,25.31,1688373166.01
124,30.07,24.38,1688373166.013
125,20.45,18.82,1688373166.021
126,9.34,13.81,1688373166.021
127,3.79,9.48,1688373166.025
128,6.78,7.64,1688373166.029
129,10.31,10.85,1688373166.03
130,12.04,10.49,1688373166.033
131,7.36,6.38,1688373166.041
132,2.09,4.51,1688373166.046
133,-3.21,3.28,1688373166.048
134,-2.99,2.63,1688373166.049
135,-1.77,2.7,1688373166.055
136,1.05,3.17,1688373166.057
137,2.16,3.86,1688373166.064
138,2.74,7.39,1688373166.065
139,2.49,9.95,1688373166.076
140,4.9,12.55,1688373166.078
141,9.3,14.6,1688373166.084
142,12.51,13.7,1688373166.084
143,11.76,9.48,1688373166.086
144,5.37,7.43,1688373166.092
145,-0.5,3.32,1688373166.093
146,-0.47,3.43,1688373166.097
147,4.76,7.25,1688373166.099
148,12.26,11.25,1688373166.11
149,11.07,13.59,1688373166.111
150,4.72,13.74,1688373166.14
151,-3.46,12.08,1688373166.176
152,-6.38,12.04,1688373166.176
153,-2.88,11.14,1688373166.179
154,2.27,11.14,1688373166.179
155,7.46,13.7,1688373166.18
156,8.26,13.74,1688373166.18
157,8.01,15.9,1688373166.18
158,4.11,16.84,1688373166.18
159,-1.88,20.16,1688373166.18
160,-9.88,20.48,1688373166.181
161,-16.7,22.18,1688373166.181
162,-19.15,20.12,1688373166.181
163,-16.44,20.81,1688373166.181
164,-10.85,19.18,1688373166.181
165,-4.4,18.75,1688373166.183
166,-0.83,15.18,1688373166.184
167,-2.2,12.62,1688373166.187
168,-7.93,7.1,1688373166.188
169,-12.4,4.87,1688373166.19
170,-13.67,7.75,1688373166.199
171,-11.25,10.13,1688373166.203
172,-5.84,13.05,1688373166.203
173,-0.97,11.61,1688373166.216
174,1.15,7.86,1688373166.216
175,5.48,0.0,1688373166.22
176,8.37,-5.45,1688373166.224
177,8.4,-6.89,1688373166.224
178,6.17,-3.21,1688373166.231
179,1.73,2.6,1688373166.234
180,0.11,7.93,1688373166.237
181,1.48,10.93,1688373166.243
182,4.15,9.38,1688373166.247
183,3.97,8.19,1688373166.25
184,-1.12,9.05,1688373166.253
185,-4.98,12.62,1688373166.257
186,-6.17,13.2,1688373166.26
187,-3.17,12.95,1688373166.267
188,0.22,9.66,1688373166.271
189,0.4,7.57,1688373166.273
190,-1.37,4.87,1688373166.274
191,-3.17,5.55,1688373166.276
192,-1.19,3.61,1688373166.286
193,1.98,3.93,1688373166.287
194,3.28,4.22,1688373166.29
195,0.79,5.99,1688373166.301
196,-4.51,6.92,1688373166.302
197,-9.27,2.78,1688373166.337
198,-11.61,2.16,1688373166.339
199,-10.28,0.04,1688373166.339
200,-4.8,1.3,1688373166.345
201,2.99,7.64,1688373166.345
202,9.45,14.53,1688373166.345
203,13.56,15.11,1688373166.345
204,10.82,16.52,1688373166.345
205,5.05,14.21,1688373166.346
206,-1.01,15.76,1688373166.346
207,-5.99,18.17,1688373166.346
208,-7.64,23.15,1688373166.347
209,-6.6,23.73,1688373166.355
210,-0.72,24.16,1688373166.358
211,8.62,27.37,1688373166.359
212,17.74,27.91,1688373166.36
213,21.89,25.06,1688373166.361
214,19.33,20.23,1688373166.374
215,13.49,9.3,1688373166.377
216,7.61,4.47,1688373166.378
217,6.6,4.07,1688373166.381
218,6.35,7.5,1688373166.391
219,7.21,10.85,1688373166.394
220,4.98,11.39,1688373166.399
221,2.38,12.08,1688373166.401
222,1.01,7.79,1688373166.405
223,0.76,3.5,1688373166.41
224,2.63,0.61,1688373166.415
225,3.32,-2.49,1688373166.415
226,1.19,-1.51,1688373166.417
227,-2.56,0.69,1688373166.426
228,-6.56,3.97,1688373166.431
229,-9.09,6.31,1688373166.432
230,-7.83,7.0,1688373166.434
231,-7.43,5.48,1688373166.443
232,-7.21,1.19,1688373166.447
233,-7.46,-1.73,1688373166.449
234,-7.75,-4.8,1688373166.451
235,-5.66,-5.73,1688373166.46
236,-4.94,-4.47,1688373166.462
237,-3.35,-4.8,1688373166.465
238,-3.39,-1.84,1688373166.467
239,-2.09,0.29,1688373166.475
240,-0.69,4.11,1688373166.478
241,-0.54,3.75,1688373166.507
242,-1.88,5.08,1688373166.533
243,-6.78,4.26,1688373166.537
244,-9.84,5.16,1688373166.54
245,-10.02,4.8,1688373166.548
246,-6.13,3.39,1688373166.548
247,-0.58,-2.16,1688373166.549
248,1.3,-7.1,1688373166.549
249,-0.83,-9.27,1688373166.549
250,-7.0,-7.0,1688373166.55
251,-12.51,-2.6,1688373166.551
252,-15.76,1.8,1688373166.552
253,-14.89,5.77,1688373166.552
254,-10.2,6.6,1688373166.552
255,-5.95,5.73,1688373166.552
256,-3.75,2.38,1688373166.553
257,-4.04,-0.87,1688373166.553
258,-7.93,-2.56,1688373166.553
259,-6.92,3.28,1688373166.555
260,-2.13,12.08,1688373166.555
261,9.23,23.84,1688373166.566
262,17.38,26.86,1688373166.568
263,21.13,21.96,1688373166.574
264,19.54,13.09,1688373166.574
265,16.7,2.52,1688373166.58
266,12.22,-5.23,1688373166.581
267,5.59,-11.5,1688373166.589
268,-4.15,-17.67,1688373166.59
269,-10.39,-21.17,1688373166.592
270,-11.54,-21.1,1688373166.6
271,-4.62,-10.17,1688373166.602
272,3.82,0.5,1688373166.605
273,10.67,9.84,1688373166.607
274,15.54,12.62,1688373166.61
275,21.67,11.03,1688373166.618
276,28.92,9.81,1688373166.621
277,28.49,11.65,1688373166.624
278,23.01,13.59,1688373166.633
279,12.01,13.52,1688373166.636
280,5.05,12.26,1688373166.638
281,4.51,8.26,1688373166.65
282,9.41,6.09,1688373166.65
283,17.85,7.0,1688373166.651
284,25.57,8.4,1688373166.656
285,32.81,7.79,1688373166.662
286,34.47,6.96,1688373166.662
287,30.83,4.58,1688373166.664
288,25.35,3.03,1688373166.671
289,21.6,11.25,1688373166.674
290,24.99,18.93,1688373166.674
291,26.29,26.18,1688373166.678
