,Left_ch,Right_ch,time
0,36.1,42.66,1688373173.553
1,34.62,37.11,1688373173.555
2,31.55,34.0,1688373173.565
3,31.16,33.79,1688373173.565
4,28.56,34.87,1688373173.567
5,23.98,35.16,1688373173.574
6,16.98,33.64,1688373173.582
7,12.33,31.48,1688373173.589
8,9.23,33.25,1688373173.59
9,11.79,39.38,1688373173.59
10,16.3,45.08,1688373173.593
11,17.63,48.03,1688373173.6
12,13.85,44.28,1688373173.603
13,5.3,36.35,1688373173.609
14,-1.59,30.94,1688373173.616
15,-1.95,30.36,1688373173.618
16,3.14,34.94,1688373173.625
17,10.89,40.28,1688373173.626
18,13.05,44.17,1688373173.636
19,11.76,42.62,1688373173.637
20,10.13,39.92,1688373173.638
21,9.77,38.84,1688373173.641
22,12.77,39.56,1688373173.642
23,16.62,40.35,1688373173.644
24,14.21,40.1,1688373173.655
25,9.23,37.68,1688373173.657
26,2.6,33.79,1688373173.658
27,-3.43,31.48,1688373173.669
28,-6.27,29.35,1688373173.671
29,-5.99,30.94,1688373173.675
30,-2.09,32.31,1688373173.679
31,4.94,35.05,1688373173.681
32,12.4,37.18,1688373173.682
33,19.87,38.33,1688373173.687
34,22.75,38.73,1688373173.694
35,20.59,40.71,1688373173.702
36,15.69,42.41,1688373173.705
37,8.33,43.13,1688373173.707
38,5.34,43.02,1688373173.711
39,4.9,39.52,1688373173.713
40,7.32,33.75,1688373173.713
41,10.67,28.49,1688373173.724
42,8.73,21.71,1688373173.726
43,3.64,18.35,1688373173.73
44,-1.44,22.86,1688373173.738
45,-3.61,29.89,1688373173.739
46,-3.17,37.61,1688373173.743
47,-6.31,39.92,1688373173.747
48,-15.94,34.87,1688373173.747
49,-29.71,22.54,1688373173.748
50,-43.42,14.17,1688373173.757
51,-51.35,7.75,1688373173.762
52,-53.12,8.51,1688373173.766
53,-52.36,10.13,1688373173.767
54,-51.06,9.81,1688373173.775
55,-50.2,6.85,1688373173.778
56,-48.68,2.16,1688373173.78
57,-46.3,-1.8,1688373173.781
58,-41.04,1.33,1688373173.783
59,-35.01,7.79,1688373173.793
60,-26.97,17.27,1688373173.794
61,-20.77,19.94,1688373173.801
62,-19.29,18.64,1688373173.809
63,-19.15,10.06,1688373173.814
64,-17.85,6.67,1688373173.815
65,-15.29,7.36,1688373173.816
66,-14.17,7.79,1688373173.827
67,-16.55,5.88,1688373173.828
68,-23.01,-0.97,1688373173.853
69,-26.97,-8.76,1688373173.879
70,-26.36,-9.34,1688373173.894
71,-19.8,-4.04,1688373173.896
72,-16.98,1.41,1688373173.897
73,-19.65,1.98,1688373173.897
74,-24.95,-1.66,1688373173.897
75,-27.44,-6.09,1688373173.897
76,-21.71,-5.84,1688373173.897
77,-14.6,-0.04,1688373173.898
78,-8.87,7.68,1688373173.899
79,-9.56,13.67,1688373173.899
80,-12.19,14.39,1688373173.9
81,-13.02,11.25,1688373173.9
82,-9.88,10.64,1688373173.9
83,-5.26,8.69,1688373173.9
84,-4.33,7.21,1688373173.903
85,-5.95,7.79,1688373173.905
86,-8.58,5.84,1688373173.906
87,-12.01,5.26,1688373173.906
88,-11.68,6.6,1688373173.906
89,-9.81,9.02,1688373173.907
90,-5.7,8.15,1688373173.915
91,-2.13,7.5,1688373173.917
92,0.5,3.25,1688373173.919
93,1.08,-2.16,1688373173.922
94,0.22,-6.06,1688373173.93
95,0.69,-11.18,1688373173.932
96,1.69,-16.3,1688373173.935
97,1.44,-15.61,1688373173.937
98,1.41,-12.26,1688373173.941
99,0.07,-4.22,1688373173.947
100,-0.07,4.29,1688373173.949
101,0.79,7.9,1688373173.956
102,0.54,3.25,1688373173.958
103,-3.32,-4.15,1688373173.97
104,-7.46,-9.05,1688373173.971
105,-10.35,-9.09,1688373173.974
106,-10.6,-5.7,1688373173.976
107,-5.23,-2.52,1688373174.011
108,-0.11,-0.79,1688373174.02
109,2.6,-3.07,1688373174.024
110,2.16,-5.26,1688373174.031
111,-2.09,-9.52,1688373174.031
112,-7.21,-12.8,1688373174.031
113,-8.33,-13.88,1688373174.031
