,Left_ch,Right_ch,time
0,7.5,6.06,1688373152.117
1,5.23,7.36,1688373152.12
2,0.36,7.68,1688373152.128
3,-0.87,8.65,1688373152.13
4,0.5,9.16,1688373152.134
5,0.61,7.57,1688373152.136
6,-2.09,3.68,1688373152.144
7,-4.65,-1.95,1688373152.147
8,-5.48,-2.6,1688373152.204
9,-0.94,1.88,1688373152.205
10,4.58,9.23,1688373152.213
11,8.47,13.45,1688373152.217
12,8.69,11.5,1688373152.218
13,6.49,8.44,1688373152.218
14,5.73,7.5,1688373152.218
15,5.16,11.5,1688373152.219
16,3.32,14.21,1688373152.219
17,0.97,15.58,1688373152.22
18,-2.6,17.63,1688373152.221
19,-5.08,16.48,1688373152.225
20,-2.78,20.81,1688373152.225
21,1.88,21.74,1688373152.225
22,5.26,20.84,1688373152.226
23,7.54,16.41,1688373152.226
24,5.26,9.16,1688373152.226
25,-1.19,4.33,1688373152.226
26,-10.71,0.47,1688373152.251
27,-22.32,-3.03,1688373152.253
28,-34.37,-10.96,1688373152.254
29,-47.89,-25.82,1688373152.267
30,-61.41,-46.48,1688373152.269
31,-72.99,-65.67,1688373152.269
32,-77.53,-77.2,1688373152.27
33,-74.36,-77.02,1688373152.27
34,-65.48,-72.91,1688373152.27
35,-58.02,-69.7,1688373152.271
36,-57.41,-72.19,1688373152.271
37,-62.96,-74.54,1688373152.271
38,-68.98,-71.29,1688373152.271
39,-70.79,-63.14,1688373152.273
40,-66.71,-52.5,1688373152.286
41,-59.1,-47.92,1688373152.287
42,-50.16,-48.28,1688373152.289
43,-43.13,-52.58,1688373152.292
44,-39.49,-51.64,1688373152.306
45,-37.39,-49.76,1688373152.309
46,-38.01,-44.46,1688373152.311
47,-36.13,-41.69,1688373152.32
48,-32.42,-39.49,1688373152.322
49,-29.82,-37.57,1688373152.323
50,-28.31,-33.32,1688373152.324
51,-29.46,-29.79,1688373152.325
52,-31.08,-25.78,1688373152.329
53,-26.65,-22.32,1688373152.33
54,-20.34,-21.24,1688373152.336
55,-13.99,-15.87,1688373152.341
56,-11.18,-13.74,1688373152.345
57,-14.93,-11.5,1688373152.346
58,-17.99,-12.8,1688373152.354
59,-18.1,-16.26,1688373152.358
60,-13.2,-14.57,1688373152.361
61,-6.71,-11.47,1688373152.365
62,-1.62,-5.84,1688373152.372
63,-0.61,0.14,1688373152.372
64,-2.67,1.26,1688373152.381
65,-3.43,-1.01,1688373152.395
66,-3.61,-2.78,1688373152.396
67,-2.13,-6.09,1688373152.397
68,-0.43,-6.85,1688373152.4
69,-0.9,-5.63,1688373152.407
70,-1.08,-2.27,1688373152.408
71,-2.31,0.83,1688373152.411
72,-5.59,1.62,1688373152.411
73,-13.81,-3.28,1688373152.412
74,-19.22,-11.61,1688373152.413
75,-18.75,-15.15,1688373152.416
76,-3.97,-14.64,1688373152.425
77,20.34,-5.63,1688373152.428
78,41.76,6.85,1688373152.431
79,50.2,9.74,1688373152.435
80,44.1,5.45,1688373152.441
81,35.52,-1.33,1688373152.443
82,31.23,-6.74,1688373152.446
83,31.55,-6.35,1688373152.449
84,31.12,-4.33,1688373152.451
85,24.56,-5.12,1688373152.46
86,13.05,-9.38,1688373152.465
87,5.48,-11.14,1688373152.467
88,6.27,-10.42,1688373152.469
89,11.03,-4.22,1688373152.477
90,17.02,-0.58,1688373152.479
91,16.91,0.07,1688373152.482
92,12.4,-2.42,1688373152.483
93,7.54,-6.74,1688373152.493
94,5.05,-7.07,1688373152.495
95,6.74,-7.18,1688373152.499
96,10.49,-5.05,1688373152.501
97,11.0,-3.79,1688373152.505
98,10.02,-3.21,1688373152.512
99,9.09,-3.25,1688373152.54
100,8.55,-1.84,1688373152.566
101,9.2,0.22,1688373152.581
102,8.33,-0.61,1688373152.584
103,5.55,0.0,1688373152.587
104,1.66,-0.58,1688373152.587
105,-0.97,-0.14,1688373152.588
106,-1.19,-1.55,1688373152.589
107,0.61,-2.67,1688373152.589
108,3.68,-1.8,1688373152.589
109,5.81,2.52,1688373152.589
110,6.24,8.69,1688373152.59
111,3.46,13.85,1688373152.593
112,0.72,12.8,1688373152.593
113,-0.97,10.2,1688373152.594
114,-0.18,6.74,1688373152.595
115,1.08,3.57,1688373152.595
116,0.72,3.21,1688373152.595
117,-2.06,3.5,1688373152.596
118,-5.81,3.53,1688373152.596
119,-10.28,0.4,1688373152.596
120,-12.55,-1.26,1688373152.6
121,-12.87,-8.76,1688373152.604
122,-10.02,-13.7,1688373152.608
123,-4.04,-8.76,1688373152.61
124,0.43,-2.67,1688373152.617
125,-0.5,1.95,1688373152.621
126,-6.27,1.23,1688373152.621
127,-15.47,-8.65,1688373152.623
128,-22.47,-18.17,1688373152.625
129,-26.04,-19.58,1688373152.634
130,-28.96,-14.21,1688373152.638
131,-31.16,-4.36,1688373152.639
132,-34.0,1.05,1688373152.644
133,-37.03,2.27,1688373152.654
134,-37.07,-0.5,1688373152.656
135,-33.03,-0.65,1688373152.661
136,-26.76,3.07,1688373152.663
137,-18.39,9.95,1688373152.669
138,-12.4,13.45,1688373152.673
139,-11.54,13.77,1688373152.677
140,-15.04,9.52,1688373152.677
141,-19.15,7.14,1688373152.679
142,-19.04,6.92,1688373152.688
143,-13.92,12.4,1688373152.691
144,-6.09,15.58,1688373152.694
145,-1.12,13.05,1688373152.695
146,-0.5,9.09,1688373152.707
147,-2.96,1.91,1688373152.708
148,-6.42,0.4,1688373152.721
149,-5.84,3.32,1688373152.723
150,-3.07,7.36,1688373152.724
151,2.38,9.48,1688373152.728
152,4.51,9.7,1688373152.729
153,5.81,8.11,1688373152.731
154,2.88,7.86,1688373152.738
155,-0.07,8.94,1688373152.739
156,-1.98,12.08,1688373152.743
157,-2.42,12.3,1688373152.745
158,-1.59,12.19,1688373152.75
159,-0.79,11.14,1688373152.757
160,-0.83,7.25,1688373152.759
161,-0.87,4.04,1688373152.761
162,0.58,1.88,1688373152.763
163,4.83,3.03,1688373152.766
164,9.63,5.37,1688373152.776
165,14.17,11.36,1688373152.778
