,Left_ch,Right_ch,time
0,21.6,38.73,1688373145.949
1,22.29,34.37,1688373145.972
2,20.23,27.05,1688373145.985
3,16.91,20.34,1688373145.986
4,9.12,18.46,1688373145.986
5,5.55,18.9,1688373145.986
6,4.87,24.99,1688373145.986
7,6.09,27.87,1688373145.986
8,9.2,29.75,1688373145.986
9,6.71,26.79,1688373145.987
10,2.24,27.23,1688373145.987
11,-1.62,28.16,1688373145.987
12,-0.32,30.83,1688373145.987
13,6.17,33.28,1688373145.987
14,13.23,34.37,1688373145.987
15,19.65,36.46,1688373145.987
16,22.14,37.65,1688373145.991
17,21.1,38.22,1688373145.991
18,19.44,36.56,1688373145.991
19,14.82,34.22,1688373145.991
20,10.53,27.44,1688373145.991
21,10.24,21.35,1688373145.991
22,13.02,19.26,1688373145.991
23,18.53,18.28,1688373146.003
24,23.11,23.44,1688373146.003
25,25.86,30.11,1688373146.003
26,23.69,33.61,1688373146.011
27,21.24,32.09,1688373146.019
28,20.23,25.78,1688373146.019
29,19.87,19.94,1688373146.023
30,22.54,13.41,1688373146.024
31,25.24,10.57,1688373146.026
32,28.27,9.23,1688373146.028
33,26.0,9.23,1688373146.034
34,21.17,14.03,1688373146.038
35,14.53,22.65,1688373146.043
36,12.22,33.82,1688373146.045
37,12.58,41.72,1688373146.046
38,15.72,41.25,1688373146.054
39,15.36,34.11,1688373146.058
40,10.96,24.48,1688373146.06
41,6.64,21.17,1688373146.06
42,7.86,20.77,1688373146.063
43,12.15,25.24,1688373146.073
44,17.85,29.64,1688373146.075
45,20.05,28.45,1688373146.078
46,18.1,28.31,1688373146.08
47,14.53,24.38,1688373146.089
48,13.34,23.48,1688373146.095
49,17.16,21.17,1688373146.097
50,23.73,24.59,1688373146.099
51,29.39,32.02,1688373146.107
52,30.04,37.43,1688373146.108
53,24.48,39.34,1688373146.115
54,16.15,36.85,1688373146.115
55,12.84,30.69,1688373146.117
56,13.85,27.23,1688373146.124
57,19.15,28.31,1688373146.128
58,21.71,27.84,1688373146.134
59,20.19,22.61,1688373146.138
60,15.43,16.37,1688373146.141
61,13.85,10.82,1688373146.145
62,13.56,13.63,1688373146.15
63,16.15,21.35,1688373146.152
64,16.52,27.59,1688373146.159
65,14.35,26.54,1688373146.161
66,10.71,23.19,1688373146.165
67,7.21,19.72,1688373146.168
68,8.15,15.97,1688373146.17
69,10.96,16.62,1688373146.178
70,13.74,14.5,1688373146.181
71,13.96,11.0,1688373146.183
72,10.24,10.46,1688373146.193
73,3.25,7.93,1688373146.196
74,-1.15,9.38,1688373146.199
75,-0.9,13.02,1688373146.202
76,4.44,16.73,1688373146.203
77,9.66,19.15,1688373146.204
78,11.65,18.86,1688373146.213
79,8.76,15.36,1688373146.217
80,2.45,10.46,1688373146.217
81,0.29,8.76,1688373146.223
82,4.36,11.18,1688373146.231
83,11.65,19.18,1688373146.233
84,20.23,24.23,1688373146.235
85,23.76,28.63,1688373146.238
86,25.21,30.29,1688373146.246
87,25.1,30.15,1688373146.249
88,25.42,29.68,1688373146.253
89,25.57,33.61,1688373146.262
90,25.46,35.05,1688373146.264
91,25.82,40.28,1688373146.299
92,31.52,44.97,1688373146.32
93,43.24,52.83,1688373146.325
94,57.77,64.29,1688373146.326
95,70.46,74.61,1688373146.329
96,78.72,87.19,1688373146.33
97,83.15,97.51,1688373146.331
98,84.56,104.47,1688373146.331
99,86.83,107.42,1688373146.331
100,89.39,106.63,1688373146.331
101,97.51,108.25,1688373146.332
102,108.61,117.16,1688373146.332
103,123.36,131.51,1688373146.333
104,130.18,139.3,1688373146.335
105,119.68,132.99,1688373146.336
106,92.1,110.6,1688373146.336
107,57.8,80.7,1688373146.338
108,36.06,59.35,1688373146.339
109,28.63,49.15,1688373146.341
110,29.03,40.57,1688373146.341
111,22.39,21.2,1688373146.341
112,1.51,-11.14,1688373146.341
113,-27.26,-41.07,1688373146.345
114,-49.73,-61.84,1688373146.351
115,-57.23,-68.98,1688373146.354
