,Left_ch,Right_ch,time
0,31.8,38.98,1688373475.402
1,25.24,42.55,1688373475.409
2,28.7,56.43,1688373475.41
3,41.32,78.94,1688373475.411
4,60.36,96.17,1688373475.421
5,69.99,100.14,1688373475.425
6,59.57,89.61,1688373475.425
7,44.32,76.56,1688373475.453
8,30.22,71.36,1688373475.457
9,26.29,73.42,1688373475.46
10,27.48,74.54,1688373475.462
11,24.12,69.7,1688373475.462
12,14.82,61.09,1688373475.462
13,10.78,56.22,1688373475.463
14,17.42,60.83,1688373475.463
15,32.78,70.03,1688373475.463
16,45.36,78.79,1688373475.463
17,48.03,81.57,1688373475.473
18,37.5,80.45,1688373475.474
19,27.59,80.27,1688373475.479
20,22.79,84.67,1688373475.482
21,19.65,90.58,1688373475.485
22,22.25,87.88,1688373475.492
23,27.51,74.61,1688373475.496
24,32.27,58.13,1688373475.498
25,38.22,43.24,1688373475.501
26,42.08,41.29,1688373475.502
27,34.44,48.61,1688373475.51
28,24.16,52.36,1688373475.513
29,12.51,51.67,1688373475.518
30,12.33,46.12,1688373475.526
31,16.23,46.16,1688373475.527
32,23.48,55.42,1688373475.532
33,27.05,67.11,1688373475.541
34,29.82,70.97,1688373475.542
35,32.89,70.28,1688373475.543
36,38.58,61.66,1688373475.545
37,44.5,60.54,1688373475.6
38,46.66,68.12,1688373475.602
39,42.62,78.72,1688373475.602
40,33.32,81.78,1688373475.62
41,23.51,78.79,1688373475.62
42,14.24,73.6,1688373475.622
43,13.92,71.22,1688373475.622
44,18.03,74.57,1688373475.622
45,24.2,78.5,1688373475.622
46,25.71,79.44,1688373475.622
47,20.77,77.67,1688373475.622
48,11.79,80.63,1688373475.631
49,10.93,87.45,1688373475.631
50,13.92,92.35,1688373475.631
51,20.41,90.08,1688373475.631
52,19.8,81.17,1688373475.631
53,15.61,67.9,1688373475.631
54,8.08,65.74,1688373475.633
55,7.54,73.53,1688373475.633
56,11.54,93.47,1688373475.633
57,15.11,106.92,1688373475.633
58,11.86,114.17,1688373475.635
59,10.46,114.92,1688373475.645
60,19.87,117.27,1688373475.647
61,39.56,129.74,1688373475.649
62,61.52,141.68,1688373475.652
63,62.78,138.79,1688373475.658
64,40.86,111.21,1688373475.66
65,11.58,69.56,1688373475.66
66,-6.85,36.89,1688373475.667
67,-1.37,29.1,1688373475.671
68,16.44,40.53,1688373475.671
69,30.22,47.82,1688373475.677
70,28.38,35.45,1688373475.677
71,16.77,5.48,1688373475.683
72,-1.84,-26.83,1688373475.687
73,-15.4,-47.09,1688373475.7
74,-24.92,-46.45,1688373475.701
75,-20.73,-32.31,1688373475.707
76,-4.98,-10.35,1688373475.721
77,17.34,16.84,1688373475.723
78,31.52,41.83,1688373475.725
79,30.65,62.42,1688373475.729
80,12.37,76.59,1688373475.729
81,-5.08,85.64,1688373475.735
82,-14.64,90.37,1688373475.738
83,-10.75,86.29,1688373475.738
84,0.94,82.4,1688373475.739
85,12.19,82.04,1688373475.741
86,17.92,91.74,1688373475.751
87,20.01,104.47,1688373475.753
88,13.16,107.35,1688373475.755
89,4.04,92.78,1688373475.76
90,-7.79,72.26,1688373475.769
91,-16.37,63.61,1688373475.769
