,Left_ch,Right_ch,time
0,-109.59,-43.31,1688373493.327
1,-110.88,-47.49,1688373493.333
2,-108.68,-52.03,1688373493.333
3,-103.92,-49.33,1688373493.333
4,-94.95,-45.26,1688373493.342
5,-82.69,-41.11,1688373493.371
6,-74.07,-36.93,1688373493.372
7,-70.5,-35.92,1688373493.376
8,-71.43,-35.05,1688373493.378
9,-75.08,-32.78,1688373493.381
10,-74.68,-33.36,1688373493.381
11,-69.31,-33.86,1688373493.381
12,-61.77,-36.38,1688373493.381
13,-54.7,-35.16,1688373493.382
14,-48.07,-30.65,1688373493.382
15,-46.08,-22.83,1688373493.382
16,-49.58,-11.21,1688373493.383
17,-52.83,-3.86,1688373493.394
18,-55.39,1.95,1688373493.4
19,-51.57,2.78,1688373493.402
20,-45.04,0.72,1688373493.402
21,-36.75,-3.79,1688373493.403
22,-31.23,-9.16,1688373493.413
23,-31.08,-13.85,1688373493.415
24,-31.08,-14.17,1688373493.419
25,-32.2,-10.17,1688373493.428
26,-31.23,-2.24,1688373493.432
27,-32.38,5.91,1688373493.435
28,-35.92,6.53,1688373493.435
29,-40.82,4.04,1688373493.437
30,-46.23,2.52,1688373493.445
31,-47.92,4.76,1688373493.452
32,-43.42,13.41,1688373493.452
33,-34.51,20.88,1688373493.455
34,-22.9,26.0,1688373493.462
35,-16.23,23.87,1688373493.468
36,-10.42,19.22,1688373493.471
37,-13.02,16.7,1688373493.471
38,-17.02,14.96,1688373493.481
39,-20.12,16.7,1688373493.483
40,-19.54,21.74,1688373493.486
41,-13.7,29.24,1688373493.487
42,-5.34,36.49,1688373493.497
43,1.62,41.25,1688373493.499
44,3.82,43.24,1688373493.504
45,4.9,41.87,1688373493.509
46,6.09,38.4,1688373493.514
47,7.18,37.43,1688373493.514
48,7.46,37.86,1688373493.516
49,1.15,39.38,1688373493.523
50,-5.81,40.1,1688373493.524
51,-10.49,45.0,1688373493.526
52,-9.02,48.36,1688373493.535
53,-1.91,48.75,1688373493.538
54,3.21,50.56,1688373493.54
55,4.47,46.55,1688373493.551
56,0.0,40.35,1688373493.553
57,-4.94,36.2,1688373493.555
58,-9.77,32.56,1688373493.58
59,-11.25,30.54,1688373493.607
60,-13.74,27.33,1688373493.609
61,-12.69,24.88,1688373493.625
62,-8.19,26.97,1688373493.625
63,-3.17,27.44,1688373493.626
64,-0.32,32.92,1688373493.626
65,0.47,37.68,1688373493.626
66,3.35,44.53,1688373493.626
67,13.96,58.53,1688373493.626
68,32.99,76.01,1688373493.627
69,51.28,94.77,1688373493.627
70,61.34,108.47,1688373493.627
71,56.9,112.33,1688373493.627
72,53.59,112.62,1688373493.627
73,55.97,111.71,1688373493.627
74,62.78,111.32,1688373493.629
75,70.46,112.98,1688373493.633
76,69.27,109.51,1688373493.633
77,62.02,105.58,1688373493.64
78,57.52,98.16,1688373493.641
79,56.33,88.09,1688373493.643
80,57.62,79.66,1688373493.644
81,54.99,71.04,1688373493.645
82,42.55,62.1,1688373493.655
83,29.71,56.29,1688373493.659
84,21.42,49.83,1688373493.665
85,20.12,41.25,1688373493.665
86,21.92,35.05,1688373493.667
87,23.22,32.96,1688373493.674
88,18.39,33.07,1688373493.679
89,14.42,40.39,1688373493.68
90,11.54,44.43,1688373493.681
91,17.99,43.42,1688373493.692
92,21.1,40.78,1688373493.695
93,22.83,37.43,1688373493.7
94,16.05,35.12,1688373493.702
95,9.88,34.51,1688373493.708
96,5.48,34.37,1688373493.712
97,6.56,30.94,1688373493.716
98,9.7,28.05,1688373493.717
99,12.12,25.46,1688373493.718
100,10.02,27.37,1688373493.729
101,6.38,30.11,1688373493.731
102,3.82,32.67,1688373493.734
103,3.35,31.95,1688373493.744
104,2.13,26.47,1688373493.745
105,1.62,20.12,1688373493.747
106,0.58,12.98,1688373493.753
107,-1.12,12.3,1688373493.753
108,0.47,15.25,1688373493.755
109,4.54,19.62,1688373493.762
110,11.21,25.49,1688373493.768
111,14.32,27.41,1688373493.769
112,14.78,25.42,1688373493.775
113,7.93,20.3,1688373493.777
114,-0.14,17.71,1688373493.784
115,-6.38,16.08,1688373493.786
116,-7.9,19.69,1688373493.788
117,-3.64,21.02,1688373493.797
118,1.41,21.71,1688373493.8
119,6.42,22.68,1688373493.802
120,7.86,23.87,1688373493.802
121,6.35,27.01,1688373493.804
122,4.47,28.42,1688373493.814
123,1.55,23.55,1688373493.815
124,4.65,16.73,1688373493.818
125,7.46,10.13,1688373493.822
126,8.37,2.99,1688373493.832
127,4.9,-0.14,1688373493.84
128,-6.31,-2.92,1688373493.847
129,-16.8,-2.88,1688373493.849
130,-28.85,-4.0,1688373493.849
131,-36.2,-7.75,1688373493.852
132,-47.2,-18.32,1688373493.856
133,-55.71,-31.23,1688373493.856
134,-64.84,-42.8,1688373493.859
135,-67.97,-45.98,1688373493.865
136,-71.4,-41.97,1688373493.87
137,-72.01,-36.71,1688373493.874
138,-71.54,-35.3,1688373493.877
139,-68.44,-34.91,1688373493.884
140,-63.07,-37.03,1688373493.89
141,-56.29,-39.41,1688373493.89
142,-54.85,-41.72,1688373493.901
143,-54.56,-44.79,1688373493.902
144,-54.74,-46.23,1688373493.904
145,-48.39,-44.39,1688373493.91
146,-38.66,-36.67,1688373493.911
147,-29.21,-27.12,1688373493.919
148,-23.91,-20.59,1688373493.921
149,-27.33,-16.3,1688373493.922
150,-32.02,-18.82,1688373493.948
151,-34.76,-20.81,1688373493.977
152,-30.83,-24.02,1688373493.978
153,-26.07,-23.76,1688373493.979
154,-21.64,-21.6,1688373493.982
155,-21.71,-19.76,1688373493.983
156,-24.85,-19.15,1688373493.983
157,-20.23,-15.54,1688373493.983
158,-14.46,-15.18,1688373493.983
159,-6.82,-12.8,1688373493.984
160,-8.29,-10.89,1688373494.012
161,-19.11,-12.48,1688373494.012
162,-29.89,-13.92,1688373494.014
163,-32.81,-10.96,1688373494.014
164,-24.88,-9.09,1688373494.014
165,-10.06,-7.14,1688373494.014
166,-0.4,-4.33,1688373494.026
167,0.5,-4.76,1688373494.031
168,-6.17,-4.9,1688373494.032
169,-12.87,-4.54,1688373494.033
170,-17.31,-6.31,1688373494.041
171,-14.68,-11.36,1688373494.041
172,-8.73,-15.0,1688373494.041
173,-5.63,-21.38,1688373494.041
174,-3.64,-20.91,1688373494.041
175,-6.56,-15.61,1688373494.041
176,-8.08,-1.59,1688373494.041
177,-0.58,20.95,1688373494.041
178,18.61,47.31,1688373494.042
179,42.59,70.03,1688373494.047
180,67.76,85.39,1688373494.058
181,81.89,94.3,1688373494.058
182,86.18,101.04,1688373494.06
183,89.97,111.14,1688373494.062
184,90.55,123.94,1688373494.065
185,94.66,129.92,1688373494.075
186,94.55,128.41,1688373494.077
187,89.1,114.74,1688373494.077
188,80.38,99.02,1688373494.08
189,70.24,86.65,1688373494.091
190,63.47,79.69,1688373494.092
191,56.87,74.68,1688373494.093
192,48.03,67.07,1688373494.101
193,37.07,58.99,1688373494.111
194,30.43,47.45,1688373494.112
195,28.88,43.09,1688373494.113
196,33.21,41.22,1688373494.115
197,40.28,41.32,1688373494.12
198,41.58,40.82,1688373494.123
199,33.03,37.94,1688373494.129
200,19.54,31.44,1688373494.13
201,10.57,23.69,1688373494.133
202,10.57,17.45,1688373494.137
203,17.45,9.99,1688373494.138
204,25.6,8.4,1688373494.149
205,29.17,9.59,1688373494.155
206,22.72,10.6,1688373494.157
207,15.18,11.9,1688373494.157
208,8.69,9.45,1688373494.164
209,7.93,2.7,1688373494.166
210,7.54,-2.49,1688373494.171
211,8.15,-4.83,1688373494.171
212,6.6,-4.33,1688373494.181
213,2.31,-1.66,1688373494.181
214,0.4,3.97,1688373494.184
215,-0.69,7.9,1688373494.19
216,1.51,9.84,1688373494.19
217,3.32,8.29,1688373494.192
218,5.81,6.17,1688373494.197
219,7.5,2.16,1688373494.199
220,5.7,0.47,1688373494.201
221,-0.18,-0.61,1688373494.203
222,-9.41,-5.05,1688373494.206
223,-15.22,-9.05,1688373494.209
224,-12.33,-12.08,1688373494.218
225,6.82,-7.68,1688373494.224
226,31.12,3.07,1688373494.228
227,51.6,10.93,1688373494.233
228,55.97,14.6,1688373494.237
229,51.85,13.31,1688373494.239
230,47.45,12.44,1688373494.241
231,50.52,16.84,1688373494.249
232,62.17,28.02,1688373494.251
233,71.29,39.85,1688373494.253
234,74.46,43.16,1688373494.268
235,73.06,42.08,1688373494.27
236,72.34,39.7,1688373494.276
237,75.08,36.13,1688373494.278
238,76.77,36.78,1688373494.278
239,69.42,34.62,1688373494.286
240,55.78,32.42,1688373494.287
241,45.08,29.82,1688373494.29
242,37.36,31.05,1688373494.317
243,39.67,37.68,1688373494.345
244,45.22,41.83,1688373494.355
245,44.89,42.37,1688373494.36
246,38.33,36.78,1688373494.361
247,28.85,29.5,1688373494.361
248,20.45,22.43,1688373494.361
249,19.87,17.6,1688373494.361
250,24.56,18.61,1688373494.362
251,28.96,19.0,1688373494.362
252,31.95,22.14,1688373494.362
253,29.03,22.93,1688373494.362
254,23.91,21.89,1688373494.362
255,15.11,17.53,1688373494.363
256,13.81,11.36,1688373494.363
257,13.88,8.44,1688373494.363
258,19.36,7.64,1688373494.369
259,22.36,12.51,1688373494.369
260,20.99,12.15,1688373494.37
261,9.48,11.97,1688373494.372
262,-1.44,7.54,1688373494.377
263,-5.66,2.52,1688373494.381
264,-2.45,-0.43,1688373494.382
265,5.52,2.06,1688373494.391
266,13.45,2.2,1688373494.393
267,14.89,1.55,1688373494.395
268,13.23,-0.4,1688373494.397
269,13.16,-1.98,1688373494.407
270,11.32,0.18,1688373494.409
271,5.59,3.1,1688373494.412
272,1.23,6.64,1688373494.414
273,-1.73,6.78,1688373494.414
274,2.78,9.2,1688373494.417
275,22.03,15.61,1688373494.425
276,40.35,24.38,1688373494.428
277,53.95,32.92,1688373494.43
