,Left_ch,Right_ch,time
0,-2.88,30.76,1688373481.487
1,-5.91,28.6,1688373481.495
2,-3.97,23.84,1688373481.496
3,-0.87,19.36,1688373481.496
4,5.52,19.51,1688373481.496
5,13.09,23.48,1688373481.496
6,16.55,35.01,1688373481.496
7,17.45,46.91,1688373481.496
8,12.3,51.78,1688373481.497
9,3.75,53.69,1688373481.501
10,-3.53,47.56,1688373481.502
11,-8.44,44.93,1688373481.502
12,-9.34,46.88,1688373481.502
13,-3.1,47.67,1688373481.502
14,6.09,50.66,1688373481.502
15,15.51,47.38,1688373481.503
16,16.37,42.19,1688373481.504
17,9.3,37.43,1688373481.515
18,-1.08,37.18,1688373481.517
19,-5.52,38.48,1688373481.528
20,0.18,40.53,1688373481.529
21,11.07,40.68,1688373481.529
22,15.47,33.68,1688373481.532
23,11.39,23.08,1688373481.533
24,-2.31,8.33,1688373481.534
25,-13.56,-0.32,1688373481.537
26,-18.14,-0.14,1688373481.539
27,-12.48,7.61,1688373481.55
28,-3.39,20.27,1688373481.553
29,0.72,26.86,1688373481.563
30,-1.26,28.16,1688373481.565
31,-10.78,23.76,1688373481.57
32,-17.42,20.66,1688373481.57
33,-14.32,20.41,1688373481.572
34,-5.19,24.48,1688373481.58
35,7.57,29.75,1688373481.582
36,11.61,31.95,1688373481.585
37,7.93,35.09,1688373481.587
38,0.07,35.41,1688373481.591
39,-4.58,31.37,1688373481.598
40,-3.21,24.63,1688373481.6
41,-1.88,20.55,1688373481.603
42,-1.59,18.86,1688373481.605
43,-2.38,25.31,1688373481.607
44,-1.8,32.6,1688373481.614
45,2.34,36.31,1688373481.618
46,8.8,33.39,1688373481.619
47,11.07,30.65,1688373481.622
48,7.9,26.61,1688373481.625
49,2.42,28.49,1688373481.634
50,-2.52,30.33,1688373481.639
51,-0.9,31.99,1688373481.641
52,2.52,31.77,1688373481.643
53,2.56,30.69,1688373481.651
54,1.44,29.79,1688373481.654
55,-3.5,26.54,1688373481.656
56,-9.77,25.31,1688373481.658
57,-10.28,24.7,1688373481.661
58,-6.02,27.3,1688373481.669
59,1.91,32.42,1688373481.672
60,11.68,36.56,1688373481.679
61,18.14,37.25,1688373481.685
62,18.5,36.49,1688373481.687
63,10.24,35.7,1688373481.689
64,-0.79,35.99,1688373481.692
65,-6.92,39.63,1688373481.704
66,-5.55,41.58,1688373481.706
67,1.37,42.91,1688373481.707
68,11.36,41.47,1688373481.711
69,16.73,39.67,1688373481.711
70,16.8,34.98,1688373481.714
71,11.0,29.35,1688373481.721
72,6.06,26.58,1688373481.725
73,-1.66,25.46,1688373481.727
74,-7.97,26.43,1688373481.737
75,-10.53,28.31,1688373481.738
76,-6.42,29.57,1688373481.744
77,1.98,28.23,1688373481.745
78,9.05,27.44,1688373481.748
79,9.56,28.38,1688373481.755
80,3.97,30.65,1688373481.758
81,-6.31,32.89,1688373481.762
82,-11.58,31.55,1688373481.762
83,-11.47,25.46,1688373481.764
84,-2.99,21.42,1688373481.771
85,5.73,20.27,1688373481.774
86,10.71,24.77,1688373481.775
87,8.01,29.75,1688373481.784
88,4.76,33.82,1688373481.787
89,0.4,36.13,1688373481.791
90,4.11,39.85,1688373481.793
91,12.01,46.95,1688373481.825
92,14.71,48.54,1688373481.877
93,11.61,46.88,1688373481.879
94,3.89,40.93,1688373481.882
95,-2.16,35.92,1688373481.882
96,-1.01,34.91,1688373481.882
97,5.12,39.41,1688373481.882
98,11.29,43.09,1688373481.882
99,12.15,46.91,1688373481.883
100,7.1,51.21,1688373481.883
101,-4.15,53.37,1688373481.891
102,-9.59,58.2,1688373481.891
103,-10.02,59.68,1688373481.891
104,0.25,56.43,1688373481.892
105,11.43,50.74,1688373481.892
106,21.28,41.29,1688373481.893
107,22.61,33.32,1688373481.893
108,18.72,36.71,1688373481.893
109,11.83,43.85,1688373481.895
110,4.72,53.26,1688373481.895
111,-4.15,55.68,1688373481.895
112,-13.81,43.81,1688373481.895
113,-22.32,29.53,1688373481.895
114,-28.49,16.7,1688373481.897
115,-26.72,20.09,1688373481.897
116,-20.63,30.72,1688373481.902
117,-13.02,41.43,1688373481.904
118,-6.24,42.55,1688373481.916
119,-0.69,31.52,1688373481.919
120,2.31,17.85,1688373481.923
121,4.26,9.45,1688373481.923
122,3.35,6.85,1688373481.931
123,1.19,7.9,1688373481.932
124,-2.2,8.08,1688373481.935
125,-2.88,6.45,1688373481.94
126,-0.58,6.09,1688373481.941
127,0.0,13.81,1688373481.942
128,-0.43,25.6,1688373481.949
129,-3.71,30.25,1688373481.95
130,-8.4,27.55,1688373481.956
131,-9.16,15.94,1688373481.957
132,-8.91,5.63,1688373481.965
133,-6.49,2.27,1688373481.97
134,-2.67,10.2,1688373481.971
135,-1.37,14.82,1688373481.982
136,-2.02,14.75,1688373481.985
137,-2.85,12.62,1688373481.99
138,-4.4,12.15,1688373481.992
139,-5.91,16.19,1688373481.999
140,-5.77,25.49,1688373482.004
141,-8.55,29.89,1688373482.006
142,-11.5,26.54,1688373482.009
143,-13.52,17.71,1688373482.015
144,-13.59,14.06,1688373482.019
145,-5.55,15.83,1688373482.022
146,5.16,26.76,1688373482.024
147,11.39,38.4,1688373482.026
148,9.38,41.18,1688373482.028
