,Left_ch,Right_ch,time
0,32.13,34.29,1688373487.395
1,28.2,36.71,1688373487.395
2,16.44,41.4,1688373487.395
3,3.28,42.88,1688373487.395
4,-7.54,37.11,1688373487.395
5,-11.18,27.44,1688373487.401
6,-6.6,19.4,1688373487.402
7,1.62,20.73,1688373487.408
8,9.09,24.16,1688373487.412
9,13.52,26.61,1688373487.416
10,13.63,18.93,1688373487.416
11,9.45,1.73,1688373487.425
12,6.09,-15.65,1688373487.427
13,5.05,-21.74,1688373487.431
14,4.62,-16.98,1688373487.433
15,0.58,-2.16,1688373487.441
16,-1.15,16.26,1688373487.441
17,2.42,26.86,1688373487.443
18,9.23,28.05,1688373487.45
19,15.61,20.88,1688373487.454
20,20.09,11.18,1688373487.462
21,15.87,8.01,1688373487.465
22,9.77,10.46,1688373487.468
23,0.79,14.6,1688373487.468
24,-5.73,18.21,1688373487.479
25,-6.35,16.59,1688373487.479
26,-5.95,13.88,1688373487.482
27,1.15,14.71,1688373487.487
28,9.77,14.57,1688373487.487
29,16.7,15.29,1688373487.489
30,13.88,11.65,1688373487.496
31,3.53,9.02,1688373487.498
32,-6.17,8.37,1688373487.504
33,-16.05,10.17,1688373487.511
34,-15.61,10.82,1688373487.515
35,-13.59,9.74,1688373487.521
36,-7.68,11.11,1688373487.523
37,-1.26,9.7,1688373487.528
38,8.91,11.76,1688373487.53
39,20.88,15.83,1688373487.532
40,29.79,18.17,1688373487.537
41,25.96,24.95,1688373487.537
42,11.32,26.36,1688373487.549
43,-1.88,27.8,1688373487.552
44,-10.89,22.07,1688373487.556
45,-8.01,17.02,1688373487.559
46,0.36,13.96,1688373487.565
47,5.52,16.34,1688373487.567
48,5.84,19.44,1688373487.571
49,3.21,17.99,1688373487.571
50,1.8,17.09,1688373487.576
51,1.51,15.04,1688373487.577
52,6.45,19.15,1688373487.584
53,9.63,24.3,1688373487.614
54,13.05,27.69,1688373487.616
55,14.82,22.65,1688373487.619
56,15.4,13.49,1688373487.627
57,10.35,8.76,1688373487.628
58,8.08,7.86,1688373487.629
59,5.59,11.25,1688373487.629
60,5.95,16.12,1688373487.629
61,8.65,21.56,1688373487.63
62,10.53,31.48,1688373487.63
63,13.63,43.16,1688373487.63
64,15.11,49.33,1688373487.635
65,13.88,50.59,1688373487.639
66,13.13,42.48,1688373487.643
67,9.16,29.57,1688373487.644
68,6.56,21.46,1688373487.646
