,Left_ch,Right_ch,time
0,20.01,27.69,1688373504.043
1,12.95,24.52,1688373504.055
2,9.48,21.96,1688373504.057
3,4.76,18.07,1688373504.057
4,-0.47,16.95,1688373504.06
5,-7.0,14.96,1688373504.06
6,-8.47,13.74,1688373504.07
7,-3.25,12.04,1688373504.072
8,9.34,13.81,1688373504.084
9,20.45,14.1,1688373504.085
10,26.76,12.01,1688373504.089
11,20.45,7.97,1688373504.093
12,6.49,2.56,1688373504.099
13,-10.78,-1.59,1688373504.101
14,-19.11,-1.88,1688373504.102
15,-20.23,1.91,1688373504.108
16,-12.58,6.96,1688373504.11
17,2.02,7.43,1688373504.113
18,14.35,6.17,1688373504.121
19,21.89,1.95,1688373504.123
20,18.61,1.51,1688373504.125
21,11.79,8.08,1688373504.127
22,2.09,16.15,1688373504.137
23,-0.61,22.65,1688373504.14
24,3.97,26.14,1688373504.146
25,9.99,26.43,1688373504.148
26,12.04,22.83,1688373504.148
27,8.98,22.72,1688373504.157
28,3.53,23.37,1688373504.16
29,1.59,22.29,1688373504.163
30,5.19,24.7,1688373504.175
31,16.12,29.42,1688373504.176
32,25.31,29.71,1688373504.177
33,27.91,28.52,1688373504.181
34,22.07,21.71,1688373504.183
35,9.56,17.6,1688373504.19
36,2.38,15.18,1688373504.193
37,2.74,18.72,1688373504.198
38,4.8,21.53,1688373504.198
39,7.97,20.41,1688373504.206
40,5.84,17.67,1688373504.209
41,2.38,12.3,1688373504.212
42,-0.29,9.09,1688373504.235
43,-4.62,7.1,1688373504.267
44,-11.18,2.7,1688373504.293
45,-17.96,0.11,1688373504.297
46,-17.74,2.85,1688373504.297
47,-6.71,11.21,1688373504.297
48,2.92,18.21,1688373504.297
49,8.65,23.62,1688373504.298
50,1.59,22.86,1688373504.298
51,-6.49,18.9,1688373504.298
52,-8.15,20.19,1688373504.299
53,1.84,23.8,1688373504.299
54,13.02,28.81,1688373504.299
55,16.48,31.37,1688373504.3
56,8.26,28.09,1688373504.3
57,-5.99,18.61,1688373504.3
58,-15.4,11.11,1688373504.301
59,-14.75,6.64,1688373504.307
60,-9.3,7.61,1688373504.307
61,-1.62,12.69,1688373504.309
62,1.73,16.23,1688373504.309
63,0.32,16.77,1688373504.31
64,-0.18,15.25,1688373504.31
65,-2.24,8.94,1688373504.31
66,-6.67,5.23,1688373504.314
67,-11.86,-0.14,1688373504.317
68,-18.61,-3.61,1688373504.321
69,-17.24,-4.87,1688373504.323
70,-10.96,-10.17,1688373504.331
71,-5.99,-20.7,1688373504.334
72,-4.9,-35.37,1688373504.341
73,-11.9,-45.94,1688373504.342
74,-18.79,-42.26,1688373504.344
75,-23.26,-27.62,1688373504.346
76,-26.32,-16.23,1688373504.35
77,-33.46,-14.64,1688373504.355
78,-49.47,-31.66,1688373504.357
79,-70.03,-53.59,1688373504.366
80,-84.7,-65.05,1688373504.367
81,-94.26,-65.09,1688373504.372
82,-93.86,-59.9,1688373504.373
83,-93.0,-56.29,1688373504.375
84,-89.28,-58.67,1688373504.385
85,-83.15,-62.49,1688373504.387
86,-76.12,-62.13,1688373504.391
87,-66.67,-55.6,1688373504.403
