,Left_ch,Right_ch,time
0,-4.44,23.55,1689318948.602
1,-5.84,21.35,1689318948.605
2,-0.54,20.7,1689318948.607
3,9.05,21.1,1689318948.607
4,18.1,21.82,1689318948.607
5,20.19,21.74,1689318948.607
6,13.34,16.23,1689318948.608
7,2.16,14.21,1689318948.608
8,-7.68,12.19,1689318948.608
9,-9.59,11.65,1689318948.608
10,-8.58,12.04,1689318948.608
11,-7.5,14.32,1689318948.614
12,-4.15,15.0,1689318948.615
13,0.18,19.36,1689318948.615
14,8.29,18.9,1689318948.615
15,15.76,21.74,1689318948.617
16,15.94,23.04,1689318948.619
17,10.53,22.03,1689318948.624
18,4.83,23.15,1689318948.634
19,6.13,20.95,1689318948.636
20,12.77,20.12,1689318948.646
21,21.38,16.77,1689318948.648
22,24.05,12.55,1689318948.649
23,20.66,7.1,1689318948.65
24,16.73,7.0,1689318948.65
25,15.83,9.48,1689318948.653
26,22.29,16.26,1689318948.659
27,32.2,25.53,1689318948.661
28,41.97,29.79,1689318948.668
29,46.55,31.23,1689318948.669
30,47.31,33.14,1689318948.672
31,46.05,37.83,1689318948.683
32,49.65,43.2,1689318948.684
33,56.58,49.83,1689318948.687
34,62.49,56.07,1689318948.693
35,63.54,56.36,1689318948.693
36,56.79,54.99,1689318948.699
37,52.43,55.82,1689318948.701
38,54.13,57.52,1689318948.705
39,69.49,64.58,1689318948.71
40,87.41,75.11,1689318948.715
41,101.11,84.02,1689318948.718
42,107.24,89.61,1689318948.723
43,106.09,92.31,1689318948.724
44,104.47,95.2,1689318948.728
45,109.87,97.04,1689318948.735
46,119.18,102.88,1689318948.739
47,129.2,107.53,1689318948.742
48,131.87,110.38,1689318948.742
49,130.57,112.07,1689318948.743
50,129.13,115.97,1689318948.751
51,130.54,121.41,1689318948.752
52,138.15,128.41,1689318948.757
53,144.74,138.43,1689318948.759
54,142.83,145.39,1689318948.768
55,130.28,150.19,1689318948.77
56,108.68,150.33,1689318948.775
57,85.07,144.28,1689318948.787
58,60.29,133.57,1689318948.79
59,39.52,116.29,1689318948.791
60,19.04,98.26,1689318948.821
61,-0.72,81.86,1689318948.824
62,-18.25,62.02,1689318948.824
63,-39.27,42.26,1689318948.828
64,-58.35,21.02,1689318948.828
65,-79.84,-4.4,1689318948.828
66,-100.82,-26.9,1689318948.828
67,-121.67,-49.4,1689318948.828
68,-139.41,-69.02,1689318948.83
69,-153.36,-87.59,1689318948.839
70,-162.7,-106.23,1689318948.84
71,-172.58,-121.7,1689318948.84
72,-181.6,-136.2,1689318948.841
73,-193.61,-149.0,1689318948.848
74,-206.48,-161.37,1689318948.849
75,-217.84,-171.0,1689318948.851
76,-221.77,-178.21,1689318948.86
77,-221.37,-182.46,1689318948.861
78,-214.34,-180.41,1689318948.863
79,-202.44,-174.57,1689318948.867
80,-187.8,-164.36,1689318948.879
81,-171.65,-154.81,1689318948.882
82,-158.74,-146.04,1689318948.892
83,-151.63,-138.79,1689318948.894
84,-147.2,-135.19,1689318948.897
85,-144.42,-130.57,1689318948.898
86,-141.43,-128.12,1689318948.898
87,-136.49,-124.33,1689318948.9
88,-132.48,-125.06,1689318948.903
89,-130.0,-120.95,1689318948.927
90,-125.6,-119.57,1689318948.929
91,-116.33,-114.56,1689318948.955
92,-104.79,-110.56,1689318948.967
93,-91.56,-107.24,1689318948.968
94,-81.78,-104.14,1689318948.968
95,-75.73,-104.43,1689318948.969
96,-71.76,-104.5,1689318948.969
97,-67.68,-107.28,1689318948.969
98,-62.24,-108.29,1689318948.972
99,-54.38,-105.48,1689318948.975
100,-46.88,-99.99,1689318948.975
101,-44.39,-87.41,1689318948.975
102,-45.9,-72.7,1689318948.976
103,-49.08,-58.92,1689318948.976
104,-50.74,-46.41,1689318948.976
105,-45.9,-42.12,1689318948.976
106,-37.97,-38.08,1689318948.98
107,-29.86,-35.3,1689318948.982
108,-26.36,-31.44,1689318948.988
109,-24.59,-25.49,1689318948.988
110,-23.26,-19.29,1689318948.995
111,-20.27,-17.49,1689318949.001
112,-16.23,-15.9,1689318949.001
113,-15.25,-17.09,1689318949.004
114,-14.96,-16.34,1689318949.005
115,-14.78,-17.53,1689318949.015
116,-11.79,-17.99,1689318949.017
117,-6.6,-20.91,1689318949.02
118,-4.62,-20.63,1689318949.025
119,-7.39,-19.8,1689318949.031
120,-16.95,-16.23,1689318949.033
121,-26.32,-15.61,1689318949.039
122,-25.46,-15.87,1689318949.039
123,-14.1,-16.37,1689318949.047
124,7.57,-12.69,1689318949.051
125,28.34,-8.55,1689318949.062
126,35.41,-7.79,1689318949.065
127,32.27,-13.13,1689318949.065
128,21.42,-23.48,1689318949.065
129,11.36,-28.02,1689318949.07
130,7.9,-27.08,1689318949.073
131,4.72,-23.84,1689318949.078
132,4.47,-21.17,1689318949.08
133,2.2,-24.2,1689318949.095
134,0.72,-31.08,1689318949.1
135,1.33,-36.89,1689318949.103
